How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
6-25,1.0,No,Yes,None did,"Yes, always",No,No,No,Somewhat not open,No,Concerned would not get the job,Concerned would not get the job,57.0,male
More than 1000,0.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,Very open,No,Fear of implicit bias against me.,Fear of implicit bias against me.,39.0,Male
6-25,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,Somewhat open,Maybe,I would be worried about not getting hired.,I would definitely be worried that it would significantly hurt my chances of getting hired.,26.0,Female
100-500,0.0,I don't know,Yes,"Yes, they all did","Yes, always",Maybe,Maybe,Yes,Not open at all,No,I think it would cause discrimination and get me passed for a job,I wouldn't get the job,38.0,Male
1-5,1.0,No,I don't know,"Yes, they all did",I don't know,No,Yes,Yes,Somewhat not open,Yes,To check that support/equipment could be provided.,Too afraid of doing so.,33.0,Male
6-25,1.0,No,Yes,None did,I don't know,Maybe,Maybe,Yes,Somewhat open,Yes,Most people seem to understand physical health issues are outside of our control. ,I think they would question whether I could perform the job as well as a candidate without mental health issues.,30.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Depends whether it would be relevant to my performance or cause significant outages. ,This seems like it would be disqualifying myself or bringing up trouble that my employer likely wouldn't want to deal with. ,25.0,Female 
26-100,1.0,No,Yes,None did,"Yes, always",Yes,Yes,Yes,Somewhat open,No,Fear and stigma associated with it.,May treat me differently or not hire me,40.0,Male
More than 1000,0.0,No,Yes,Some did,"Yes, always",Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,26.0,Female
More than 1000,0.0,Yes,I don't know,"Yes, they all did",Sometimes,Yes,Yes,Yes,Very open,Yes,Well I do IT so a physical health issue would have very little bearing on it ,I work in IT and i might know that my illness has positives my employer is mostly likely ignorant enough to not understand both sides of it. i usually talk about it in a strength versus weakness thing. ,34.0,Male
More than 1000,0.0,Yes,I don't know,None did,I don't know,Maybe,Yes,Yes,Somewhat not open,Maybe,"The physical health issue I would most have reason to discuss is asthma, and it seems like asking for accommodations later if necessary (eg asking for perfumes/scents to be banned) would likely be okay.  Additionally giving information that employers aren't allowed to use for employment decisions like health status before an offer might be made is looking for trouble.  People use information they have, consciously or not.",Why give an employer a reason not to choose you?,46.0,F
More than 1000,0.0,No,I don't know,Some did,No,Yes,Yes,Yes,Somewhat open,No,"None of their business, especially if it has no impact on my ability to do the work.",I would be too afraid they wouldn't hire me if I told them.,31.0,female
More than 1000,1.0,No,I don't know,None did,No,Yes,Maybe,Yes,Somewhat open,No,Fear of discrimination,Stigma,42.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,Very open,Yes,Fear of discrimination,Stigma,30.0,Male
More than 1000,1.0,No,I don't know,Some did,"Yes, always",Yes,Yes,Yes,Very open,Maybe,"It depends on what the job requirements are. For instance, long hours or heavy lifting.","Because they would boot my ""crazy"" ass right out of there.",26.0,Unicorn
1-5,1.0,No,I don't know,None did,I don't know,Maybe,Yes,No,Somewhat open,Maybe,"if it does not influence my work, why should i bring it up",i am not obligated to,29.0,male
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Maybe,Not sure ,Stigma. ,31.0,M
26-100,1.0,No,I don't know,None did,"Yes, always",No,Yes,I don't know,Somewhat open,No,Fear of discrimination,Interviewers may not be trained on how to respond to this.,40.0,Male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Maybe,I don't know,Very open,Maybe,"Not everyone is open-minded and regardless of the law, people attach a stigma to conditions that affect the mind as I think they are concerned about things they cannot see.","I would be concerned about how it may affect their decision making. I suppose I shouldn't be as I wouldn't want a job with anyone who let it affect that, but still, I feel mental health issues carry a stigma that many physical ones do not (though I do feel for those with psoriasis and other physical conditions as I am sure they see real stigma from closed-minded individuals).",39.0,Cis Male
26-100,1.0,No,I don't know,Some did,I don't know,Maybe,No,No,Not open at all,No,Fear of discrimination,the large stigma against people with mental health issues,37.0,male
26-100,1.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,Maybe,Comfort discussing personal issues with someone who I've presumably only recently met.,Comfort discussing personal issues with someone who I've presumably only recently met.,27.0,Male
26-100,1.0,No,I don't know,None did,"Yes, always",No,No,No,Not applicable to me (I do not have a mental illness),No,"Shouldn't come up.  If it does, then it might bias potential employer against me.",May bias employer against me.,45.0,m
26-100,1.0,No,Yes,None did,I don't know,No,No,Yes,Very open,No,Fear of discrimination,Stigma,29.0,M
26-100,1.0,No,Yes,Some did,"Yes, always",No,No,No,Neutral,No,"if wasn't current, feel that it isn't relevant","if not current, then feel it's not relevant.",47.0,female
100-500,1.0,No,Yes,Some did,"Yes, always",No,No,No,Somewhat open,Maybe,"It would depend on how I perceived my chances of getting an offer/second interview during that interview. If I really wanted the position, and thought that a physical health issue might deter the employer, I may choose to not bring it up. If I am asked, outright, though, I would not lie.",Same as above. My desire for the job may trump my willingness to disclose a potential issue. ,33.0,male
26-100,1.0,No,Yes,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),No,Fear of negative repercussions,I would not expect the employer to hire me if I were to bring up such a topic in an interview.,32.0,Male
26-100,1.0,No,I don't know,Some did,I don't know,No,No,No,Very open,Yes,As a type 1 diabetic I try to advocate for equal treatment and would not avoid bringing up a physical health issue,"It depends on the employer, I think being open about mental health issues with some companies would be good to help find out what their policies are, I wouldn't want to end up at a place with crappy policies for mental health care",29.0,Male
26-100,1.0,No,Yes,None did,Sometimes,Yes,Yes,Yes,Somewhat open,Yes,Employer should know about physical health issues that could impact quality of work somehow.,"There is a stigma associated with mental health issues, at least with some. It is a difficult thing to be transparent about.",36.0,Male
6-25,1.0,No,I don't know,I don't know,I don't know,No,No,I don't know,Not applicable to me (I do not have a mental illness),No,Fear of discrimination,Stigma,35.0,F
26-100,1.0,No,I don't know,None did,I don't know,No,Maybe,Yes,Somewhat not open,No,Seems out of place...certainly wouldn't want interviewer to ask me.,Same as physical...unless it was directly related to part of the job,40.0,Male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat not open,Maybe,If it impacted my ability to be physically at work or if there were accessibility issues at the office.,They would not hire me.,36.0,male
More than 1000,0.0,I don't know,I don't know,I don't know,I don't know,No,Maybe,I don't know,Somewhat not open,No,Less likely to get the job,Less likely to get the job.,39.0,Female
26-100,1.0,I don't know,Yes,None did,I don't know,Maybe,No,No,Not open at all,No,Would likely negatively affect selection status.,Would likely negatively affect selection status.,38.0,Male
1-5,1.0,Yes,Yes,Some did,"Yes, always",Maybe,Maybe,I don't know,Very open,Yes,It would be important that both I and my employer understand the requirements demanded by physical health issues.,I might not bring up a mental health issue if it did not have any affect on my current work.,23.0,Male
500-1000,0.0,No,No,None did,I don't know,No,No,Yes,Somewhat not open,No,"The field is already too competitive to disadvantage myself. Plus, it's none of their business as long as it doesn't seriously affect my work.",That would be a one way ticket out from consideration.,29.0,male
100-500,1.0,No,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Yes,I am privileged to be choosy with employment and would not want to work where bringing up such issues is problematic.,I am privileged to be choosy with employment and would not want to work where bringing up such issues is problematic.,38.0,Male
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Neutral,No,Fear of discrimination,It seems obvious: when trying to get a job you are trying to put your best foot forward and admitting you have a mental health issue or physical health issue makes you look less desirable as an employee,34.0,Female
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,Neutral,No,Retaliation,Retaliation,28.0,male
6-25,1.0,No,Yes,Some did,"Yes, always",Yes,Yes,Yes,Very open,Yes,I have a (small) physical disability which sometimes affects my work. I guess it's an effective litmus test of the prospective employer's culture.,"If a prospective employer is unable to answer questions about their mental health services then you probably don't want to work there. That said, I acknowledge that that's a fairly privileged position to take and many people don't have that choice.",38.0,Male
26-100,1.0,Yes,Yes,None did,"Yes, always",Maybe,Maybe,I don't know,Somewhat open,No,They might think it will negatively affect my job performance and be less likely to hire me or hire me with a good salary.,I think it would very much decrease my likelihood of getting hired.,25.0,female
More than 1000,0.0,Yes,Yes,Some did,Sometimes,Yes,Yes,Yes,Very open,Yes,Fear of discrimination,"When asked about ""weaknesses"" I am open about my anxiety and what I'm doing to work on it",36.0,female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat not open,No,Fear of discrimination,Stigma,57.0,Female
More than 1000,0.0,No,I don't know,None did,I don't know,No,Yes,Yes,Very open,No,I believe it would negatively influence their decision on whether to hire me or not,I believe it would negatively influence their decision on whether to hire me or not,46.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Depends on what the issue was and whether it would affect the kind of work I could do.,I wouldn't get the job.,49.0,Male
More than 1000,1.0,No,Yes,None did,"Yes, always",No,Yes,No,Somewhat open,Maybe,Fear of discrimination,Stigma,34.0,m
26-100,1.0,No,Yes,None did,I don't know,No,No,No,Somewhat open,Maybe,Would depend on physical health issue and how it might affect things.,Would depend on issue.,43.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Neutral,Maybe,Fear of discrimination,Stigma,35.0,m
More than 1000,1.0,No,I don't know,None did,No,No,Yes,No,Not applicable to me (I do not have a mental illness),Maybe,Fear of discrimination,Stigma,32.0,Male
More than 1000,0.0,Yes,I don't know,None did,I don't know,Yes,No,I don't know,Not open at all,No,Fear of discrimination,Stigma,24.0,"Male (trans, FtM)"
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,"The physical health issue itself, no, because alone it isn't relevant.  The work I had to do to overcome the issue, yes.","The mental health issue itself, no, because alone it isn't relevant.  The work I had to do to overcome the issue, yes.",33.0,Male
1-5,1.0,No,Yes,None did,I don't know,Maybe,No,Yes,Somewhat open,Yes,I have type 1 diabetes and it will affect my everyday life forever,I don't have official diagnosis but I'll maybe get one later,28.0,Male
More than 1000,1.0,No,Yes,None did,I don't know,Maybe,No,Yes,Somewhat open,No,Fear of negative consequences,Taboo subject,48.0,Male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Somewhat open,Maybe,Fear of discrimination,Stigma,33.0,female
100-500,1.0,I don't know,I don't know,None did,I don't know,No,No,No,Not open at all,Maybe,Fear of discrimination,Stigma,40.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Depending  on work impact ,Tolerance and understanding,22.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat not open,Maybe,If I feel comfortable enough with the interviewer. ,"Majority of mental health issues, such as depression, bipolar disorder, OCD, schizophrenia are considered a disability. I am afraid that employers might discriminate against what they called ""disabled"" people. I don't even feel comfortable telling my family and friends about my mental health issues.  ",22.0,female
100-500,1.0,Yes,Yes,None did,I don't know,Yes,Yes,I don't know,Neutral,No,I would not want anything to impact my qualifications or the perception of them,I would not want to bring up anything that could  negatively impact my interview,23.0,Female
More than 1000,0.0,No,I don't know,None did,I don't know,No,Yes,Yes,Very open,Maybe,Non of his/her business,Non of his/her business,33.0,male
6-25,1.0,No,No,None did,I don't know,Maybe,Yes,I don't know,Somewhat not open,Yes,Fear of discrimination,Stigma,29.0,Male
More than 1000,1.0,No,I don't know,Some did,I don't know,Yes,No,No,Somewhat open,Maybe,Depends on what it is and how embarrassing it is,Stigma,32.0,Male
26-100,1.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,Very open,No,Fear of discrimination,Stigma,43.0,m
More than 1000,0.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,It depends on the issues and the type of job.,It depends on if I thought the issues would impact my ability to get a job I desired.,49.0,Male
More than 1000,0.0,No,I don't know,None did,I don't know,No,No,No,Somewhat open,Yes,Don't see it as a problem for me,Stigma,44.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Yes,I feel like it would not be immediately associated with my productivity or ability to perform.,"I feel like all things being equal, a potential employer will always choose a candidate without mental health issues.",29.0,Male
26-100,1.0,No,I don't know,None did,I don't know,No,No,Yes,Somewhat open,Maybe,Scared it would separate me from other interviewees,"Rather keep it hidden, and come forward later once they had come to know me",27.0,male
6-25,0.0,No,I don't know,Some did,"Yes, always",Maybe,No,No,Somewhat open,Yes,Physical health for the most part doesn't get in the way of my job directly.,I assume they wouldn't hire someone whose primary method of work has some kind of issue.,30.0,Male
1-5,1.0,No,I don't know,None did,No,No,No,Yes,Somewhat open,No,Perceived poorly,Bias,43.0,F
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Somewhat open,Yes,"There's less stigma. People hear about a physical condition and don't think it's your fault, but when they hear about a mental health condition they think you're dangerous, less trustworthy, and fundamentally wrong somehow.","See my answer above. I don't want to risk a possible position or cast a pall over the rapport with a potential coworker. I didn't always feel this way, but at my last position I got strongly warned, in secret, never to say anything about my condition because people would think I was 'crazy' and 'might shoot up the place.' I have major clinical depression that I've managed and treated for years. The only person it's hurt is myself. But that was the perception of anyone with a mental illness, never mind that they're as wide a spectrum as physical illnesses. So I never said anything. ",30.0,Female 
26-100,0.0,No,I don't know,None did,Sometimes,Yes,Yes,Yes,Somewhat not open,Maybe,Depends on how personal and to what extent it would affect my position,"People have strong stigmas against mental health issues. Instead I talk about work/life balance and burnout in the tech industry, to get a feel for how understanding they are. ",33.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat not open,No,I would be worried it would be seen as a pity play or distraction from my qualifications.,"I would be worried it would be seen as a pity play, make me seem unlikeable/'crazy'/a liability rather than an asset.",27.0,Female
6-25,1.0,Yes,Yes,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,"If it impacted my work or would require special accommodations, I would mention it.","Employers don't typically make accommodations for mental health, so no point in bringing it up",26.0,female
100-500,0.0,Yes,I don't know,None did,I don't know,No,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,47.0,m
6-25,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Somewhat open,Maybe,Depends on the issue. Maybe you would need accommodations for a wheelchair.,I'd fear they would think it would affect productivity. And if there are many more candidates I could easily be eliminated.,30.0,Male
6-25,1.0,No,I don't know,None did,I don't know,No,No,Yes,Somewhat not open,Maybe,I wouldn't want it to be the reason I was not hired.,I feel it might color the opinion of everything I said or did.,39.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,No,Somewhat not open,Maybe,Fear of discrimination,Stigma,36.0,male
6-25,1.0,No,I don't know,None did,I don't know,No,Yes,Yes,Very open,Maybe,"Depends what it was and how it affected my ability to do the job, no change in ability, no discussion.",Stigma,34.0,male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,might affect chances of getting the job,"if I felt they would understand I would, otherwise I wouldn't for fear of being discriminated against",25.0,female
26-100,0.0,Yes,I don't know,None did,I don't know,No,No,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,28.0,Male
More than 1000,1.0,I don't know,No,None did,I don't know,Yes,Yes,Yes,Very open,No,Bit knowing the environment if the new employer would make me nervous to do so,Bit knowing the environment if the new employer would make me nervous to do so,38.0,Male
100-500,1.0,No,Yes,None did,"Yes, always",No,No,No,Somewhat open,Yes,I want to set expectations up front,Stigma,39.0,Male
6-25,0.0,No,I don't know,None did,I don't know,Maybe,Maybe,I don't know,Somewhat not open,Maybe,Possibly wouldn't receive the job because of too much baggage or they make think I am a complainer ,They might think I am unstable or unreliable,32.0,Male
26-100,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Yes,Because it might affect my ability to get to the office in the future.,Because of the stigma involved. I don't want them to think that I would not be able to do my job regardless of my physical condition.,27.0,female
500-1000,1.0,I don't know,I don't know,Some did,Sometimes,Yes,Yes,Yes,Very open,Maybe,Fear of discrimination,Risk of not getting hired.,31.0,female
26-100,1.0,No,I don't know,None did,I don't know,Maybe,Yes,No,Somewhat not open,No,In case it affected how well they though I could do the job/reliability,In case it affected how well they though I could do the job/reliability,30.0,female
More than 1000,1.0,No,I don't know,Some did,I don't know,No,No,I don't know,Not applicable to me (I do not have a mental illness),No,Not relavent to my job,I don't have one,34.0,m
26-100,1.0,No,I don't know,None did,No,Maybe,Maybe,Yes,Very open,Maybe,"I'm hesitant to give a potential employer any information that would disqualify me from the position -- legally protected or otherwise. They can always employ parallel construction based on other negative factors to reinforce a biased decision, so giving them extra ammo is a poor strategy for securing a paycheck.","Same reasoning as above, but with more nuance: Software engineers are hired in part because of their intelligence and apparent mental fitness. To undermine their confidence in your ability to perform cognitively out of the gate would, in my experience, lead to the other candidates being selected even if they performed worse in the interview.",26.0,Male
100-500,1.0,I don't know,No,None did,No,No,Yes,No,Very open,No,"If the physical health issue is chronic, I would be nervous that it would make them more likely to reject the application.",Stigma,27.0,Female
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Somewhat open,Maybe,Less stigma,Would feel it could affect outcome.,29.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,Yes,Not open at all,No,"would only bring it up, after the job offer -- and only asking for ergonomic keyboard/chair and better monitor(s). No need to bring it up if they don't offer the job, right?",never. you have no background info about the person who is interviewing you and their understanding of mental health.,37.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Wold only bring it up if it would affect doing my job.,Only if working for the disability community.,49.0,F
More than 1000,0.0,Yes,I don't know,None did,I don't know,No,No,No,Neutral,No,Can damage my opportunity to ge in the job,No good,39.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,"it depends on whether the issue might be perceived as having more impact on my performance than it actually does, and whether i am confident i can explain the impact and work around it.","it depends on whether the issue might be perceived as having more impact on my performance than it actually does, and whether i am confident i can explain the impact and work around it.",42.0,m
500-1000,1.0,No,Yes,None did,Sometimes,Yes,Yes,I don't know,Somewhat open,No,I believe disclosing anything about physical health will stop the interviewing process; I've lost interviews before for looking unwell.,"This is the same as disclosing a physical illness, but much more severe; people associate instability with mental health with instability at work, and want only a perfect neurotypical programmer who will be low risk",28.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,No,I don't know,Somewhat open,No,Fear of not getting the job,Fear of not getting the job,33.0,Male
More than 1000,1.0,No,I don't know,None did,No,No,Maybe,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,30.0,female
26-100,1.0,No,Yes,None did,I don't know,Yes,Yes,I don't know,Very open,Maybe,"If that physical heath issue were not germane to the work, I would not bring it up.","If that mental heath issue were not germane to the work, I would not bring it up.",70.0,Male
6-25,1.0,No,I don't know,None did,I don't know,Maybe,Maybe,Yes,Somewhat not open,Yes,Fear of discrimination,Stigma,25.0,Male
26-100,1.0,I don't know,I don't know,None did,I don't know,Yes,Yes,No,Very open,Yes,It's better to be open at interviews about all health issues as it speaks to the employer's attitudes as much as anything. ,Same answer - I want to know how a potential employer would react before I consider working for them.  ,45.0,Male
More than 1000,0.0,I don't know,Yes,I don't know,I don't know,Yes,Yes,I don't know,Very open,No,They don't need to know unless/until it affects my work ,They don't need to know unless/until it affects my work.,63.0,F
26-100,1.0,Yes,Yes,Some did,I don't know,Yes,Maybe,Yes,Somewhat open,No,"I would be concerned that there would be negative bias, even if unintentional.",I would be very concerned about potential negative bias.,40.0,male
26-100,1.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,Very open,No,"Unless it would directly effect my performance in the position, the condition would not be relevant.","Due to lack of understanding, without bias, how a treated mental health issue could effect work.",39.0,male
6-25,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,I don't have anything serious enough to chance negatively affecting the outcome.,"It would depend on whether or not I could trust the employer to not stigmatise me as well as how desperately I needed or wanted the job. I can cover my illness fairly well and wouldn't want to harm my chances of getting the job, if necessary.",31.0,Cis-woman
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Not open at all,No,That would be career suicide,That would be career suicide,34.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Yes,Fear of discrimination,Stigma,44.0,Male
500-1000,1.0,Yes,I don't know,None did,I don't know,Maybe,No,No,Somewhat not open,No,Not being sure about privacy.,Not being sure about privacy and consequences,45.0,m
100-500,0.0,No,Yes,None did,I don't know,Yes,Yes,Yes,Very open,Yes,"If it was going to impact my ability to perform my job, I would feel obligated to let them know.","If it was going to affect the ability to do my job, I would feel obligated to let them know.",43.0,Male
26-100,1.0,No,Yes,None did,I don't know,No,No,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,29.0,male
100-500,1.0,No,Yes,None did,Sometimes,Yes,Yes,Yes,Very open,Maybe,"The job I go for require a lot of travel, and a physical health issue might impact their belief in my ability to complete my job.","You never know. And the last thing you want in an interview is an armchair psychologist telling you ""you just need to try harder""",27.0,Genderqueer
100-500,1.0,I don't know,Yes,Some did,Sometimes,Yes,Yes,Yes,Somewhat not open,Yes,I feel dishonest if I do not disclose things up-front,Mental health stigmas mean that I feel uncomfortable discussing mental issues up front,37.0,Male
100-500,1.0,No,I don't know,None did,Sometimes,Yes,Yes,Yes,Somewhat open,Maybe,"Depends on the ability to do the job. If it has no bearing, then I wouldn't discuss it. If I needed accommodations to do the job, I may.",Stigma. Fear of not getting the job. ,41.0,non-binary
26-100,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,Somewhat not open,Maybe,"I've never had a physical health issue before, so I don't know if I would.","Seems like TMI, and I don't want any doubts about my effectiveness as an employee.",30.0,woman
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Yes,Fear of discrimination,Stigma,28.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,Not applicable to me (I do not have a mental illness),Maybe,"It depends on what the issue was, if it was chronic or acute, etc. (if acute, probably wouldn't even mention it. Then again, if chronic, might be concerned that it would bias against them hiring me.)",I'd be worried it would bias them against hiring me.,28.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,Fear of discrimination,Stigma,39.0,Male
6-25,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Not open at all,Maybe,"I would have to read the room, it would  depend on how much i feel an employer expects of me.",stigma,22.0,male
26-100,1.0,No,I don't know,None did,I don't know,No,No,I don't know,Somewhat open,Maybe,Depends on how acute the issue was,Depends on the acuteness of the problem ,31.0,M
26-100,1.0,No,No,None did,I don't know,No,No,I don't know,Not applicable to me (I do not have a mental illness),Yes,Full disclosure,Prejudice ,29.0,Male
100-500,1.0,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,Not applicable to me (I do not have a mental illness),No,It's non of their business. ,Stigma,33.0,male
100-500,1.0,No,I don't know,None did,I don't know,No,No,No,Very open,No,Unsure of how they woud react.,Unsure of how they woud react.,37.0,male
100-500,1.0,No,I don't know,None did,I don't know,Maybe,No,No,Somewhat open,Yes,Fear of discrimination,Stigma,42.0,Male
6-25,1.0,No,Yes,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,I feel that an interview is not enough time for an employer to make a rational judgement about whether or not the candidate can still do the job they're asking. I would not disclose my mental health condition to employers during an interview but perhaps prior to accepting an offering.,"Same as above,",31.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Maybe,Yes,Very open,Yes,"Especially if it would affect physical access to the location or equipment, it seems like it would be absolutely necessary.",It depends on which aspect of mental health we're talking about :) Some are more stigmatized than others.,34.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Somewhat not open,Maybe,Depends on whether I thought it would have a negative impact on me getting the job,Only if the job was for an organization or business run by or for people with similar issues.,49.0,F
26-100,1.0,Yes,I don't know,None did,I don't know,Maybe,Maybe,Yes,Somewhat not open,Maybe,Fear of discrimination,Stigma,29.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,Somewhat open,Maybe,i don't know,"it depends. my current job, i made an offhand reference to my therapist in the cover letter. but i also believed myself woefully underqualified at the time so I can't vouch for having taken the application completely seriously.",40.0,cisdude
26-100,1.0,No,Yes,None did,I don't know,Yes,Yes,Yes,Very open,Maybe,"Depends in the interview, would it be relevant at that point, am I seriously interested in the job or not",Same answer as physical,46.0,Female
More than 1000,1.0,No,I don't know,Some did,"Yes, always",No,Maybe,Yes,Somewhat open,Maybe,"It depends on the issue—if it affected my job, I would hope to feel comfortable bringing it up.","Same answer. But it would feel more raw and vulnerable. Having been self-employed now, I'd be a lot more selective about where I choose to interview, and opt myself out of places that wouldn't be empathetic and understanding.",31.0,female
100-500,0.0,Yes,Yes,None did,"Yes, always",Maybe,Maybe,No,Somewhat open,Yes,"If the health issue was severe enough to affect my work, waiting to reveal it until after job start could easily result in resentment. All cards on the table.","Bit more taboo about mental health issues. At my last interview I did mention that I only worked well with interesting tasks (let's call it a light case of ADHD), but I did not problematize it.",43.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,Yes,Somewhat open,No,Fear of discrimination,Stigma,45.0,male
6-25,1.0,No,I don't know,None did,No,Maybe,Maybe,No,Not applicable to me (I do not have a mental illness),No,Your not get the job,Your not get the Job,32.0,M
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,No,I feel I need to be able to physically do the job demands to be considered.,I feel I need to be able to physically and mentally do the job demands to be considered.,38.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Yes,Being open usually is the best,Bad experience,40.0,Male
26-100,0.0,No,I don't know,None did,No,Yes,Yes,I don't know,Somewhat not open,Maybe,Fear of discrimination,Stigma,38.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,Somewhat open,Maybe,Fear of discrimination,Because I wouldn't get the job.,32.0,Male
More than 1000,0.0,No,No,None did,I don't know,Maybe,Yes,No,Somewhat open,Maybe,Fear of discrimination,Stigma,37.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Very open,Maybe,If it could affect my work I would,"If it required me to I would, otherwise id try to keep it to myself. Dont want to be a burden or be labeled as somewhat disabled",24.0,male
More than 1000,1.0,No,I don't know,None did,No,Maybe,Maybe,Yes,Somewhat open,Maybe,Don't want to be viewed differently or like I need special treatment.,Don't want to give someone even just one reason not to hire me. Getting a job is hard enough.,25.0,Female
6-25,1.0,No,I don't know,None did,I don't know,No,No,Yes,Not applicable to me (I do not have a mental illness),Yes,Fear of discrimination,Stigma,24.0,Male
More than 1000,0.0,No,I don't know,None did,I don't know,No,No,Yes,Somewhat open,Maybe,"If I really wanted the job I wouldn't necessarily bring it up until I knew that I was actually getting the job. I realize that legally I can't be discriminated against, but the odds would be against me.",Same as above.,34.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,Somewhat open,Maybe,"If I thought it might impact my performance of the job I'd mention it. And if my physical issue is obvious, but I knew it would NOY affect my ability to do the job, I would mention that.","Because true or not, in my mind I would be taking myself out of the running for the position.",55.0,male
